     velsurf       thk_regu           glen
     44.6796        13.8986        -0.1916
     44.5296        13.9543        -0.1916
     44.3943        14.0124        -0.1916
     44.2763        14.0663        -0.1916
     44.1612        14.1219        -0.1916
     44.0548        14.1739        -0.1916
     43.9555        14.2263        -0.1916
     43.8664        14.2657        -0.1916
     43.7837        14.3107        -0.1916
     43.7035        14.3475        -0.1916
     43.6248        14.3907        -0.1916
     43.5558        14.4263        -0.1916
     43.4852        14.4630        -0.1916
     43.4235        14.4960        -0.1916
     43.3621        14.5301        -0.1916
     43.3089        14.5595        -0.1916
     43.2500        14.5939        -0.1916
     43.2046        14.6168        -0.1916
     43.1536        14.6469        -0.1916
     43.1177        14.6627        -0.1916
     43.0745        14.6865        -0.1916
     43.0331        14.7062        -0.1916
     42.9973        14.7289        -0.1916
     42.9623        14.7431        -0.1916
     42.9245        14.7671        -0.1916
     42.8946        14.7811        -0.1916
     42.8562        14.8052        -0.1916
     42.8274        14.8193        -0.1916
     42.7944        14.8371        -0.1916
     42.7702        14.8492        -0.1916
     42.7361        14.8682        -0.1916
     42.7157        14.8782        -0.1916
     42.6852        14.8946        -0.1916
     42.6656        14.9048        -0.1916
     42.6340        14.9210        -0.1916
     42.6092        14.9352        -0.1916
     42.5892        14.9466        -0.1916
     42.5667        14.9578        -0.1916
     42.5451        14.9695        -0.1916
     42.5245        14.9805        -0.1916
     42.5008        14.9953        -0.1916
     42.4822        15.0066        -0.1916
     42.4596        15.0201        -0.1916
     42.4427        15.0291        -0.1916
     42.4269        15.0427        -0.1916
     42.4041        15.0526        -0.1916
     42.3881        15.0673        -0.1916
     42.3685        15.0770        -0.1916
     42.3484        15.0914        -0.1916
     42.3329        15.0980        -0.1916
     42.3155        15.1112        -0.1916
     42.2993        15.1195        -0.1916
     42.2787        15.1337        -0.1916
     42.2665        15.1436        -0.1916
     42.2450        15.1552        -0.1916
     42.2346        15.1658        -0.1916
     42.2137        15.1773        -0.1916
     42.2127        15.1841        -0.1916
     42.1863        15.1967        -0.1916
     42.1824        15.2023        -0.1916
     42.1609        15.2142        -0.1916
     42.1511        15.2221        -0.1916
     42.1344        15.2324        -0.1916
     42.1260        15.2400        -0.1916
     42.1082        15.2512        -0.1916
     42.0992        15.2596        -0.1916
     42.0909        15.2642        -0.1916
     42.0887        15.2699        -0.1916
     42.0718        15.2781        -0.1916
     42.0693        15.2830        -0.1916
     42.0543        15.2899        -0.1916
     42.0478        15.2986        -0.1916
     42.0371        15.3031        -0.1916
     42.0334        15.3085        -0.1916
     42.0186        15.3165        -0.1916
     42.0128        15.3221        -0.1916
     42.0067        15.3274        -0.1916
     41.9972        15.3336        -0.1916
     41.9885        15.3400        -0.1916
     41.9759        15.3473        -0.1916
     41.9696        15.3538        -0.1916
     41.9586        15.3605        -0.1916
     41.9520        15.3660        -0.1916
     41.9420        15.3714        -0.1916
     41.9323        15.3789        -0.1916
     41.9267        15.3839        -0.3533
     69.4557        15.3916        -0.3533
     67.1429        15.2341        -0.3533
     64.9158        15.0982        -0.3533
     62.7716        14.9727        -0.3533
     60.7378        14.8585        -0.3533
     58.7959        14.7554        -0.3533
     56.9366        14.6603        -0.3533
     55.1564        14.5721        -0.3533
     53.4499        14.4880        -0.3533
     51.8137        14.4137        -0.3533
     50.2555        14.3383        -0.3533
     48.7491        14.2697        -0.3533
     47.3396        14.1956        -0.3533
     45.9934        14.1300        -0.3533
     44.7335        14.0622        -0.3533
     43.5561        13.9964        -0.3533
     42.4572        13.9303        -0.3533
     41.3932        13.8736        -0.3533
     40.3872        13.8146        -0.3533
     39.4413        13.7574        -0.3533
     38.5510        13.7027        -0.3533
     37.7222        13.6465        -0.3533
     36.9377        13.5875        -0.3533
     36.1910        13.5361        -0.3533
     35.5000        13.4794        -0.3533
     34.8719        13.4221        -0.3533
     34.2951        13.3635        -0.3533
     33.7915        13.3064        -0.3533
     33.3292        13.2564        -0.3533
     32.9187        13.2034        -0.3533
     32.5288        13.1541        -0.3533
     32.1730        13.1072        -0.3533
     31.8520        13.0588        -0.3533
     31.5559        13.0122        -0.3533
     31.2796        12.9630        -0.3533
     31.0141        12.9217        -0.3533
     30.7719        12.8718        -0.3533
     30.5451        12.8319        -0.3533
     30.3354        12.7843        -0.3533
     30.1377        12.7420        -0.3533
     29.9595        12.6969        -0.3533
     29.7941        12.6501        -0.3533
     29.6257        12.6131        -0.3533
     29.4736        12.5720        -0.3533
     29.3303        12.5348        -0.3533
     29.2098        12.4884        -0.3533
     29.0917        12.4484        -0.3533
     28.9869        12.4064        -0.3533
     28.8842        12.3710        -0.3533
     28.8022        12.3271        -0.3533
     28.7148        12.2927        -0.3533
     28.6382        12.2572        -0.3533
     28.5642        12.2209        -0.3533
     28.5032        12.1834        -0.3533
     28.4430        12.1516        -0.3533
     28.3943        12.1142        -0.3533
     28.3506        12.0816        -0.3533
     28.3081        12.0488        -0.3533
     28.2720        12.0146        -0.3533
     28.2413        11.9827        -0.3533
     28.2042        11.9557        -0.3533
     28.1785        11.9261        -0.3533
     28.1505        11.9000        -0.3533
     28.1312        11.8675        -0.3533
     28.1006        11.8483        -0.3533
     28.0863        11.8178        -0.3533
     28.0619        11.8001        -0.3533
     28.0515        11.7699        -0.3533
     28.0338        11.7526        -0.3533
     28.0301        11.7241        -0.3533
     28.0133        11.7090        -0.3533
     28.0133        11.6815        -0.3533
     28.0005        11.6671        -0.3533
     27.9968        11.6451        -0.3533
     27.9840        11.6305        -0.3533
     27.9834        11.6093        -0.3533
     27.9777        11.5945        -0.3533
     27.9744        11.5771        -0.3533
     27.9671        11.5643        -0.3533
