dis_along_flowline,widths_m,area_m2,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt
7300.0,1688.0857694528997,337617.15389057994,170.40070010318286,583.276493153581,16.299434984516296,-0.7749787085670027
7500.0,1465.1898298651406,293037.9659730281,175.86676138820968,628.5145736058685,18.259778495811908,-0.8233475919216322
7700.0,1240.2501089628781,248050.02179257563,178.89931239000254,668.2248524708901,20.667579341031818,-0.8996451305995059
7900.0,1015.3103880606157,203062.07761212313,181.93186339179536,707.9351313359118,23.075380186251728,-0.9759426692773796
8100.0,955.0373823264214,191007.47646528427,175.3348895060851,678.5993395971075,22.413742596656697,-0.925766271035799
8300.0,946.4760415092782,189295.20830185563,165.7138754323822,627.5804331908375,20.788183599734968,-0.8358722052616888
8500.0,937.9147006921349,187582.940138427,156.0928613586793,576.5615267845677,19.162624602813242,-0.7459781394875786
8700.0,912.7926786223427,182558.53572446853,153.9166413333323,567.366078521071,20.66580575977113,-0.7293275309793692
8900.0,886.7879412737364,177357.58825474727,152.13724275233594,560.3998987853746,22.33575461759437,-0.7165809357068125
9100.0,929.2142365812182,185842.84731624363,149.22676893511215,557.535437148183,22.623934744626787,-0.7059576627148406
9300.0,1067.2321354260396,213446.42708520792,144.73629126063634,560.4006831461909,20.9819161947246,-0.6983004677396618
9500.0,1195.210384942081,239042.0769884162,140.3371863278152,563.2365299243326,19.37542399775386,-0.6865172483865531
9700.0,1047.354522537391,209470.90450747818,138.44849965988683,565.2646485202005,18.744999757911483,-0.5613736682500201
9900.0,899.498660132701,179899.7320265402,136.5598129919585,567.2927671160684,18.114575518069103,-0.4362300881134872
10100.0,867.2554815036274,173451.09630072548,126.41875561305962,520.413609281654,17.519600053391766,-0.3211103636215705
10300.0,853.8668487333679,170773.36974667356,114.93187096908393,465.5584711640196,16.930405706626072,-0.20762536673705334
10500.0,1174.6966688790299,234939.33377580598,103.51185495544993,468.3111684102637,16.2727536006698,-0.18953647001921947
10700.0,1358.3561223036163,271671.2244607233,94.93610092732287,473.930375717957,14.99717945800594,-0.18062958045515595
10900.0,978.0434238561816,195608.68477123632,95.10981362448763,464.1519082731448,11.84346115768948,-0.1599121344521453
11100.0,597.7307254087467,119546.14508174935,95.28352632165242,454.37344082833255,8.689742857373021,-0.13919468844913468
